ASX Code,Company Name,Link,Market Cap,Last trade,Change,%Change,Sector
CBA,Commonwealth Bank (ASX:CBA),https://www.listcorp.com/asx/cba/commonwealth-bank,"	305340000000",177.87,-4.6,-2.52,Financials
BHP,BHP Group Limited (ASX:BHP),https://www.listcorp.com/asx/bhp/bhp-group-limited,"	204512000000",40.46,0.17,0.42,Materials
CSL,CSL Limited (ASX:CSL),https://www.listcorp.com/asx/csl/csl-limited,"	124627000000",255.31,-2.06,-0.8,Health Care
NAB,National Australia Bank Limited (ASX:NAB),https://www.listcorp.com/asx/nab/national-australia-bank-limited,"	120040000000",38.25,-0.94,-2.4,Financials
WBC,Westpac Banking Corp (ASX:WBC),https://www.listcorp.com/asx/wbc/westpac,"	117410000000",33.07,-1.24,-3.61,Financials
WES,Wesfarmers Limited (ASX:WES),https://www.listcorp.com/asx/wes/wesfarmers-limited,"	95928200000",83.75,-0.82,-0.97,Consumer Discretionary
ANZ,ANZ Group Holdings Limited (ASX:ANZ),https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	91952100000",30.05,-0.77,-2.5,Financials
MQG,Macquarie Group Limited (ASX:MQG),https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	86663200000",224.15,-3.23,-1.42,Financials
GMG,Goodman Group (ASX:GMG),https://www.listcorp.com/asx/gmg/goodman-group,"	71029400000",34.69,-0.28,-0.8,Real Estate
TLS,Telstra Group Limited (ASX:TLS),https://www.listcorp.com/asx/tls/telstra-group-limited,"	56469700000",4.93,-0.03,-0.6,Communication Services
FMG,Fortescue Ltd (ASX:FMG),https://www.listcorp.com/asx/fmg/fortescue-ltd,"	52342400000",17.25,0.25,1.47,Materials
WDS,Woodside Energy Group Ltd (ASX:WDS),https://www.listcorp.com/asx/wds/woodside-energy-group,"	46329500000",24.75,0.35,1.43,Energy
TCL,Transurban Group (ASX:TCL),https://www.listcorp.com/asx/tcl/transurban-group,"	42553700000",13.63,-0.06,-0.44,Industrials
ALL,Aristocrat Leisure Limited (ASX:ALL),https://www.listcorp.com/asx/all/aristocrat-leisure-limited,"	42503700000",67.2,-0.94,-1.38,Consumer Discretionary
